NCBI_id,OrthoDB_seq,species_name,amino_entropy,protein_entropy,constructive_entropy,divergence_time,amino_edge_E(G),amino_total_N,protein_edge_E(G),protein_total_N,superkingdom,superkingdom_name,kingdom,kingdom_name,subkingdom,subkingdom_name,phylum,phylum_name,subphylum,subphylum_name,superclass,superclass_name,class,class_name,subclass,subclass_name,order,order_name,family,family_name,genus,genus_name,divergence_time_log
13333,0,Amborella trichopoda,0.940378896116108,0.99994105026978,0.0595621541536719,187.96495,28519297052447.0,7788126,145598529.0,17065,2759,Eukaryota,33090.0,Viridiplantae,,,35493.0,Streptophyta,131221.0,Streptophytina,,,3398.0,Magnoliopsida,,,261009.0,Amborellales,22097.0,Amborellaceae,13332.0,Amborella,2.2740768735150905
142615,0,Dendrobium officinale,0.9401986194517912,0.9999564737546028,0.0597578543028115,7.98275,45277378960594.0,9813995,268389598.0,23169,2759,Eukaryota,33090.0,Viridiplantae,,,35493.0,Streptophyta,131221.0,Streptophytina,,,3398.0,Magnoliopsida,1437197.0,Petrosaviidae,73496.0,Asparagales,4747.0,Orchidaceae,37818.0,Dendrobium,0.9021525284542422
15368,0,Brachypodium distachyon,0.9389514823767392,0.9999602882932496,0.0610088059165101,9.87454,61021470290959.0,11400785,324551353.0,25478,2759,Eukaryota,33090.0,Viridiplantae,,,35493.0,Streptophyta,131221.0,Streptophytina,,,3398.0,Magnoliopsida,1437197.0,Petrosaviidae,38820.0,Poales,4479.0,Poaceae,15367.0,Brachypodium,0.9945168734007946
225117,0,Pyrus x bretschneideri,0.9404493830073524,0.9999671810181616,0.0595177980108092,2.18,114959823391988.0,15635808,607799030.0,34866,2759,Eukaryota,33090.0,Viridiplantae,,,35493.0,Streptophyta,131221.0,Streptophytina,,,3398.0,Magnoliopsida,,,3744.0,Rosales,3745.0,Rosaceae,3766.0,Pyrus,0.33845649360460484
2711,0,Citrus sinensis,0.940529228065741,0.9999572855349724,0.0594280574692313,7.56,55265057116227.0,10840621,295718568.0,24320,2759,Eukaryota,33090.0,Viridiplantae,,,35493.0,Streptophyta,131221.0,Streptophytina,,,3398.0,Magnoliopsida,,,41937.0,Sapindales,23513.0,Rutaceae,2706.0,Citrus,0.8785217955012065
29655,0,Zostera marina,0.9410228028023262,0.999950572565558,0.0589277697632317,3.5,29760386030451.0,7953059,208396227.0,20416,2759,Eukaryota,33090.0,Viridiplantae,,,35493.0,Streptophyta,131221.0,Streptophytina,,,3398.0,Magnoliopsida,,,16360.0,Alismatales,27254.0,Zosteraceae,27257.0,Zostera,0.5440680443502756
29760,0,Vitis vinifera,0.9405357869570332,0.999960819654635,0.0594250326976019,4.471031,63499847838610.0,11620202,331492512.0,25749,2759,Eukaryota,33090.0,Viridiplantae,,,35493.0,Streptophyta,131221.0,Streptophytina,,,3398.0,Magnoliopsida,,,403667.0,Vitales,3602.0,Vitaceae,3603.0,Vitis,0.650407681069612
3055,0,Chlamydomonas reinhardtii,0.9281787104663128,0.9999191741177846,0.0717404636514719,216.0,19869735512978.0,6543276,103844478.0,14412,2759,Eukaryota,33090.0,Viridiplantae,,,3041.0,Chlorophyta,,,,,3166.0,Chlorophyceae,,,3042.0,Chlamydomonadales,3051.0,Chlamydomonadaceae,3052.0,Chlamydomonas,2.3344537511509307
33119,0,Petunia axillaris,0.9409505182087738,0.9999691252924188,0.0590186070836449,12.3319,77736285993468.0,12854154,542109854.0,32928,2759,Eukaryota,33090.0,Viridiplantae,,,35493.0,Streptophyta,131221.0,Streptophytina,,,3398.0,Magnoliopsida,,,4069.0,Solanales,4070.0,Solanaceae,4101.0,Petunia,1.0910299943528587
3562,0,Spinacia oleracea,0.9415305317445304,0.9999587560789662,0.0584282243344359,24.2,58646643051481.0,11161418,329101594.0,25656,2759,Eukaryota,33090.0,Viridiplantae,,,35493.0,Streptophyta,131221.0,Streptophytina,,,3398.0,Magnoliopsida,,,3524.0,Caryophyllales,1804623.0,Chenopodiaceae,3561.0,Spinacia,1.383815365980431
